gene,pcc,n_units,pcc_fold00_A,pcc_fold01_B,pcc_fold02_C,pcc_fold03_D,pcc_fold04_E,pcc_fold05_F,pcc_fold06_G,pcc_fold07_H
C19orf52,0.0386235416517593,8,0.044946521520614624,-0.12524528801441193,0.09718205034732819,0.07746683061122894,-0.001136427279561758,0.009008122608065605,0.10580296069383621,0.10096356272697449
C19orf60,0.06554329913342372,8,0.005812565330415964,0.17156636714935303,0.08436868339776993,0.054087501019239426,-0.014329941011965275,-0.014303282834589481,0.152210995554924,0.08493350446224213
C1QB,0.034487512428313494,8,-0.05862748622894287,0.2682682275772095,0.06514069437980652,-0.014837861061096191,-0.03353598341345787,-0.09523176401853561,0.08036350458860397,0.06436076760292053
C1R,-0.0519688483182108,8,-0.006137886084616184,-0.08782889693975449,-0.01643221266567707,0.009426042437553406,-0.0015062884194776416,-0.041664332151412964,-0.12081409245729446,-0.15079312026500702
C1S,0.11306551517918706,8,-0.02986951172351837,0.26218560338020325,0.07131574302911758,0.13110092282295227,-0.010037790983915329,0.041334398090839386,0.16039709746837616,0.27809765934944153
C1orf216,0.03330153971910477,8,-0.007232306059449911,0.08039164543151855,0.02498156763613224,0.06857190281152725,-0.006115044001489878,-0.02700957842171192,0.06920308619737625,0.06362104415893555
C2,0.05870113521814346,8,0.03557019680738449,0.2932671904563904,-0.019558491185307503,0.061531100422143936,0.004895737394690514,-0.0586579293012619,0.03905285894870758,0.11350841820240021
C2CD2L,0.056705336552113295,8,0.051137443631887436,0.06791376322507858,0.09707899391651154,0.11231744289398193,0.02680271863937378,-0.016131147742271423,0.05367771163582802,0.060845766216516495
C3,0.04909240244887769,8,0.11005959659814835,-0.12306787073612213,0.19395747780799866,0.14851127564907074,0.028213748708367348,0.03643884137272835,0.06779825687408447,-0.06917210668325424
C4orf48,0.053156567621044815,8,-0.02199712023139,0.12995487451553345,0.08817443251609802,0.14886069297790527,-0.003250568173825741,-0.02605193667113781,0.1409945785999298,-0.031432412564754486
C5orf38,0.034255061647854745,8,0.019828462973237038,-0.004468722268939018,0.05548113211989403,0.10327288508415222,0.015511205419898033,-0.00817501824349165,0.07119299471378326,0.021397553384304047
C6orf136,0.07157646445557475,8,0.06230708584189415,0.14008186757564545,0.026367902755737305,0.08873867988586426,-0.03522331267595291,0.04679257422685623,0.09929682314395905,0.14425009489059448
C6orf48,0.13979654165450484,8,0.07163307070732117,0.3121525049209595,0.1796252429485321,0.20262077450752258,-0.04966912046074867,0.00591516587883234,0.1704825609922409,0.22561213374137878
CADM4,0.10162109252996743,8,0.054407451301813126,0.19728051126003265,0.1537260115146637,0.12932226061820984,0.03324207663536072,-0.01826859451830387,0.1146850734949112,0.14857394993305206
CALML5,0.018279439391335472,8,-0.004881417844444513,0.09013447165489197,0.0035368420649319887,0.04340192675590515,-0.01036941260099411,-0.03073183260858059,-0.01447177492082119,0.06961671262979507
CAMTA2,0.0889908890821971,8,-0.02742239646613598,0.21894550323486328,0.14231909811496735,0.11905045807361603,0.0060228644870221615,-0.010486758314073086,0.09520081430673599,0.16829752922058105
CAPG,0.12775447801686823,8,0.026729170233011246,0.3089962303638458,0.1498204916715622,0.18084010481834412,0.01953703723847866,-0.0767294242978096,0.20665815472602844,0.20618405938148499
CARS2,0.08573664748109877,8,0.05290057510137558,0.17562450468540192,0.16890890896320343,0.06773469597101212,0.029858561232686043,0.015892021358013153,0.07500098645687103,0.0999729260802269
CBLC,0.04307183308992535,8,0.026453034952282906,0.032911211252212524,0.06721442937850952,0.06806860119104385,-0.016795940697193146,0.011915487237274647,0.12595748901367188,0.02885035239160061
CCDC106,0.06247715256176889,8,0.0262416061013937,0.08602919429540634,0.08522776514291763,0.08624180406332016,0.014285208657383919,-0.008363952860236168,0.053367290645837784,0.15678830444812775
CCDC167,0.08781512605492026,8,0.009506751783192158,0.20906005799770355,0.13546203076839447,0.061781302094459534,0.02504083514213562,-0.02397257834672928,0.19611917436122894,0.08952343463897705
CCDC57,0.05106275575235486,8,0.006499931216239929,0.16013585031032562,0.04349334165453911,0.12286686152219772,-0.035953179001808167,-0.054575592279434204,0.0851440578699112,0.08089077472686768
CCDC80,0.021959077610517852,8,0.07634809613227844,-0.03672746568918228,0.024500181898474693,0.024786872789263725,0.01594395563006401,-0.001447490998543799,0.024726420640945435,0.04754205048084259
CCDC88B,0.06093112379312515,8,-0.01873350329697132,0.1258402317762375,0.06095229461789131,0.07173952460289001,0.02561822719871998,0.015868913382291794,0.07571201026439667,0.1304512917995453
CCL19,-0.008901555382180959,8,0.028138525784015656,-0.1282983124256134,-0.010795860551297665,0.04662972688674927,0.001005417201668024,0.026642771437764168,0.03552744910120964,-0.07006216049194336
CCL2,-0.02938979270402342,8,0.04381241276860237,-0.21991902589797974,-0.05893012136220932,0.08914083242416382,0.005357162095606327,-0.023023637011647224,0.061399511992931366,-0.13295547664165497
CCL21,0.011132049927255139,8,0.0037624372635036707,0.042951080948114395,-0.011018000543117523,-0.07187740504741669,0.0055307927541434765,0.04412823170423508,0.010143785737454891,0.06543547660112381
CCM2,0.12520179257262498,8,0.012964209541678429,0.27816686034202576,0.15063872933387756,0.1708744913339615,0.011801539920270443,-0.033488091081380844,0.21808171272277832,0.1925748884677887
CCNB1,0.08278848230838776,8,0.06412217020988464,0.12406988441944122,0.1042233258485794,0.1141299158334732,-0.011813757941126823,0.02053610049188137,0.0866263285279274,0.16041389107704163
CCNB1IP1,0.0461949766613543,8,0.023087242618203163,0.02254999801516533,0.0622292160987854,0.08974741399288177,-0.020117707550525665,-0.030639933422207832,0.1340213268995285,0.08868225663900375
CCNE1,0.0833673682063818,8,0.07006803154945374,0.20731906592845917,0.12049771845340729,0.1046694815158844,-0.04062638431787491,-0.020035967230796814,0.11535812169313431,0.10968887805938721
CCNE2,0.11557874805293977,8,0.08478963375091553,0.2033834308385849,0.14285337924957275,0.1851104497909546,-0.02864181436598301,0.10613986849784851,0.13066035509109497,0.10033468157052994
CCS,0.11687752278521657,8,0.043160464614629745,0.26046738028526306,0.132783442735672,0.12956945598125458,-0.012794598937034607,0.021594204008579254,0.20381498336791992,0.1564248502254486
CCT4,0.17667892137978924,8,0.10955939441919327,0.3523399531841278,0.20995956659317017,0.29286038875579834,0.000739580427762121,0.00996924564242363,0.20707017183303833,0.2309330701828003
CD14,-0.0075981797417625785,8,-0.10072703659534454,0.05499286204576492,0.056429173797369,-0.0948914960026741,0.016866108402609825,-0.07183299213647842,0.011213290505111217,0.06716465204954147
CD320,0.01722673053154722,8,0.011143487878143787,-0.12022916972637177,0.08781925588846207,0.06381332129240036,0.0012424211017787457,-0.011270560324192047,0.036188285797834396,0.0691068023443222
