gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
ASNA1,0.476095,0.427776,0.479419,0.003324,-0.048320
ASNS,0.245599,0.243235,0.242228,-0.003371,-0.002364
ATAD1,0.297894,0.261236,0.299769,0.001875,-0.036659
ATF6B,0.205777,0.195628,0.202431,-0.003347,-0.010149
ATG12,0.433768,0.390594,0.428984,-0.004784,-0.043174
ATG16L2,0.269234,0.243901,0.290713,0.021479,-0.025333
ATL2,0.273377,0.231474,0.258176,-0.015201,-0.041903
ATP5H,0.511349,0.457433,0.494511,-0.016838,-0.053916
ATP5O,0.575655,0.511206,0.571268,-0.004387,-0.064449
ATP6AP1,0.483378,0.452121,0.474366,-0.009012,-0.031257
ATP6V0D1,0.413056,0.362288,0.401722,-0.011334,-0.050767
AURKAIP1,0.448922,0.410057,0.438692,-0.010230,-0.038865
AVEN,0.157940,0.134498,0.160860,0.002920,-0.023442
BABAM1,0.523280,0.468710,0.519243,-0.004037,-0.054570
BAD,0.456545,0.427318,0.466577,0.010032,-0.029227
BAG1,0.491269,0.446279,0.490322,-0.000947,-0.044990
BAIAP3,0.179273,0.132046,0.189847,0.010575,-0.047226
BCAM,0.419566,0.404299,0.427705,0.008139,-0.015267
BCL2,0.438911,0.391175,0.416078,-0.022833,-0.047737
BCL2L12,0.371965,0.333522,0.356575,-0.015390,-0.038443
BGN,0.382489,0.344328,0.371925,-0.010564,-0.038161
BICDL1,0.492924,0.465037,0.492350,-0.000574,-0.027887
BIN3,0.328067,0.293063,0.325474,-0.002593,-0.035004
BIRC2,0.424789,0.379258,0.440771,0.015982,-0.045531
BIRC5,0.395271,0.363676,0.407192,0.011921,-0.031595
BLVRA,0.598943,0.535992,0.591989,-0.006955,-0.062951
BOK,0.363062,0.328689,0.354277,-0.008785,-0.034373
BOLA3,0.442007,0.404774,0.441340,-0.000668,-0.037234
BRD9,0.497025,0.456534,0.490091,-0.006934,-0.040490
BRF1,0.392648,0.353933,0.398453,0.005805,-0.038715
BRF2,0.387759,0.370431,0.386850,-0.000909,-0.017329
BRK1,0.380060,0.345127,0.376715,-0.003346,-0.034933
BRPF1,0.280216,0.248283,0.301602,0.021386,-0.031933
BSG,0.417969,0.394524,0.406987,-0.010982,-0.023445
BST2,0.286492,0.237458,0.296856,0.010364,-0.049035
BTG1,0.517364,0.443410,0.508144,-0.009220,-0.073954
C10orf10,0.266584,0.212058,0.266696,0.000113,-0.054525
C10orf54,0.335312,0.285938,0.347984,0.012671,-0.049374
C12orf45,0.409347,0.354997,0.404889,-0.004458,-0.054351
C15orf61,0.178669,0.144504,0.178812,0.000144,-0.034164
C19orf24,0.345109,0.273735,0.346654,0.001545,-0.071374
C19orf52,0.447930,0.419301,0.455492,0.007562,-0.028629
C19orf60,0.349981,0.294007,0.345390,-0.004590,-0.055973
C1QB,0.442778,0.394362,0.450062,0.007284,-0.048416
C1R,0.371521,0.340727,0.356844,-0.014677,-0.030794
C1S,0.482567,0.452253,0.495761,0.013194,-0.030313
C1orf216,0.169162,0.172003,0.192634,0.023472,0.002841
C2,0.474123,0.412845,0.465324,-0.008799,-0.061278
C2CD2L,0.307276,0.271034,0.309570,0.002294,-0.036242
C3,0.276574,0.194303,0.280824,0.004250,-0.082271
C4orf48,0.260190,0.265780,0.288460,0.028270,0.005590
C5orf38,0.278889,0.250623,0.283027,0.004139,-0.028266
C6orf136,0.335577,0.285202,0.335046,-0.000531,-0.050375
C6orf48,0.548201,0.510946,0.557919,0.009718,-0.037256
CADM4,0.438113,0.370620,0.442703,0.004590,-0.067493
